iteration,l1_filters,l2_filters,l3_filters,batch_size,learn_rate,size,score,cost_s
0,5.88249786204294,7.94796132032234,5.61945636822234,307.000440100498,-2.98921344916251,0.989611959038021,0.906484425067902,926.260149478912
1,4.08866780465615,6.97119955921959,7.701040111766,438.836562750274,-2.3351185902849,0.69961216211323,0.872312068939209,556.423419952393
2,4.38272312448866,5.06417597550825,8.68108298009306,178.624469344036,-4.86369408961825,0.419096918361645,0.865144193172455,374.447374105454
3,7.93560583029553,5.07158101234862,7.12201910794935,214.423665317173,-2.54232185400652,0.927779731713021,0.866477727890015,743.840290546417
4,4.52816152924224,4.70282861499661,8.26189992776364,45.8378135903378,-5.90379978378486,0.54189572310399,0.885314226150513,443.311836957932
5,5.76947880386409,7.86865547850566,6.41902106719904,177.767652085286,-3.49964717774289,0.456513020033354,0.886647760868073,453.765394687653
6,7.94671419419777,5.40789794847604,5.41298022486942,423.617979545773,-2.62429561021819,0.73971601724415,0.883147180080414,496.212262392044
7,7.73104992198975,8.50368818365133,4.07629658228537,263.246972184484,-3.6408309055406,0.0570388363104198,0.830971837043762,226.131556272507
8,7.80625741639418,6.42082962995868,5.29190116072048,87.686811321098,-4.41433608239612,0.632040151477044,0.892482101917267,574.254345178604
9,4.05702952818861,4.39529727911914,6.18727630418685,154.920757565476,-5.76843099139372,0.204345530414004,0.859809994697571,83.3432281017304
10,7.28130789377758,7.02114728755439,7.57762870466122,249.220928286593,-4.57566416792719,0.156634806421285,0.856809496879578,262.981884717941
11,5.09771294225923,8.53282866708657,5.98305278174922,284.441795033568,-5.11260779332708,0.737340606178354,0.867311239242554,1042.83802700043
12,5.62214306112118,6.28895395466216,4.10376859388562,252.927476704271,-1.78798903119739,0.612677311817294,0.87781298160553,217.74798822403
13,6.41726453393764,8.40586960372869,8.24290585607187,203.093814442139,-2.16020725129106,0.336456113823029,0.786797821521759,512.064343452454
14,6.95024738691616,4.2139854063866,8.86268453798486,85.5596397259052,-4.10620419068271,0.71269487821622,0.87014502286911,804.731288671494
15,4.76568664090638,4.33029784795929,6.62554207656797,263.2138055975,-1.94476128409489,0.435203354256938,0.860310077667236,203.248717069626
16,4.41796109264259,5.7286038058254,8.79565630853863,151.45683249445,-2.62545642773748,0.0830102302686578,0.797799646854401,142.620018005371
17,6.90620967563545,7.81787923647103,5.90656459357774,46.4102100080465,-3.82644981153428,0.543880562008097,0.863643944263458,794.178467988968
18,4.07508028876143,8.23693829249392,8.6916939224421,135.468973285944,-0.035230549623571,0.393137866902443,0.865977644920349,923.170297861099
19,8.6891132399476,5.95971869111631,4.10279819111204,317.824940963366,-1.69231207647973,0.401014272972361,0.84664112329483,572.090253829956
20,4.96855374909099,4.64062964175776,7.42109870261217,88.2172022845871,-3.74723768018116,0.44641263536904,0.876312732696533,264.555107116699
21,4.78405148320435,7.87404842662351,5.71771291823853,148.10313392473,-1.49877475823007,0.0848169451871505,0.822803795337677,95.8211510181427
22,4.71963955012319,4.55137096064108,8.13996544156261,40.7602876965081,-2.35969758569793,0.697145040925884,0.891648590564728,538.510468244553
23,5.23568877518793,8.63769130394696,8.62065344884549,116.779001632448,-2.77562652733493,0.623317635619268,0.876146018505096,2327.78209328651
24,6.38148155689398,8.31137808272698,4.96069912531964,194.020667824752,-4.90412822440214,0.120070908425515,0.869311571121216,142.749356985092
25,7.7800019874373,4.98201726614912,6.38368651023764,116.118940639801,-1.49165562521328,0.573015635166494,0.883147180080414,444.118248939514
