l1_filters,l2_filters,l3_filters,batch_size,score,cost_s,size,learn_rate
32.0,256.0,64.0,445.0,0.7322999835014343,839.1153645515442,1.0,0.000752503234241
256.0,256.0,64.0,244.0,0.7365999817848206,1559.6087617874146,1.0,0.0106469989086791
128.0,64.0,256.0,469.0,0.6643999814987183,923.4777543544768,1.0,0.0397665137034513
32.0,128.0,256.0,192.0,0.6880999803543091,923.1222014427184,1.0,0.0063446834971168
128.0,256.0,16.0,114.0,0.7368000149726868,1103.701355457306,1.0,5.1588673028583895e-05
128.0,32.0,128.0,240.0,0.6991999745368958,684.4773213863373,1.0,0.007351701795738
128.0,64.0,64.0,82.0,0.7146999835968018,683.1909220218658,1.0,0.0015819000097801
256.0,512.0,128.0,435.0,0.7318999767303467,3049.9876704216003,1.0,0.0014256787068095
128.0,512.0,128.0,67.0,0.7422999739646912,2303.385598897934,1.0,0.0003735376342771
128.0,32.0,512.0,173.0,0.6674000024795532,1103.4273142814636,1.0,0.0133803245847515
128.0,256.0,64.0,125.0,0.7459999918937683,1164.501114845276,1.0,6.597071657002424e-05
128.0,256.0,64.0,413.0,0.7364000082015991,1141.8394703865051,1.0,0.0002556772431756
64.0,16.0,128.0,59.0,0.6822999715805054,503.3813171386719,1.0,0.0009972413852051
512.0,32.0,128.0,120.0,0.6934000253677368,1283.45574593544,1.0,1.4368066193982397e-06
512.0,16.0,256.0,313.0,0.6801000237464905,1343.42178606987,1.0,1.0976647121734175e-05
256.0,64.0,512.0,373.0,0.6735000014305115,1398.892492055893,1.0,0.0062896633490172
32.0,128.0,512.0,307.0,0.6988000273704529,1343.4905712604525,1.0,0.0038620481702768
64.0,32.0,256.0,386.0,0.7003999948501587,683.4230439662933,1.0,3.893067152203916e-06
128.0,128.0,32.0,234.0,0.7346000075340271,803.494283914566,1.0,0.0002282828839123
32.0,128.0,32.0,41.0,0.7185999751091003,539.0414936542511,1.0,0.0017084429104829
32.0,64.0,128.0,37.0,0.6884999871253967,563.7347726821899,1.0,0.0010099976754858
256.0,128.0,256.0,307.0,0.7069000005722046,1403.4528605937958,1.0,0.0006802169623171
16.0,64.0,32.0,252.0,0.7013999819755554,443.1092479228973,1.0,0.017423276750892
64.0,128.0,16.0,285.0,0.7350000143051147,623.469785451889,1.0,0.004016829893276
256.0,128.0,32.0,322.0,0.7246000170707703,1103.4487743377686,1.0,1.3206722023864672e-05
